,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
219,BMW,5 Series,2011,1st,Automatic,525d Sedan,99500.0 km,Diesel,"₹ 12,45,000"
220,Maruti Suzuki,Wagon R 1.0,2013,1st,Manual,Wagon R 1.0 LXi CNG,58000.0 km,CNG & Hybrids,"₹ 3,65,000"
221,Land Rover,Discovery Sport,2016,1st,Automatic,TD4 HSE Luxury,"47,000 km",Diesel,"₹ 35,00,000"
222,Maruti Suzuki,Wagon R 1.0,2013,2nd,Manual,1.0 VXi,65000.0 km,Petrol,"₹ 2,50,000"
223,Hyundai,i10,2010,2nd,Manual,1.2 Kappa Magna,82000.0 km,Petrol,"₹ 1,75,000"
224,MG,Hector,2020,1st,Automatic,Others,"43,100 km",Petrol,"₹ 17,00,000"
225,Skoda,Superb,2009,2nd,Automatic,2008-2013 Elegance 2.0 TDI CR AT,"95,000 km",Diesel,"₹ 3,55,000"
226,Other Brands,Others,2018,1st,Automatic,,"20,000 km",Diesel,"₹ 18,000"
227,Porsche,Boxster,2017,1st,Automatic,GTS,14000.0 km,Petrol,"₹ 73,00,000"
228,Hyundai,Fluidic Verna,2019,1st,Manual,1.6 CRDi SX,36000.0 km,Diesel,"₹ 9,65,000"
229,Maruti Suzuki,Swift,2018,1st,Manual,VDI BS IV,74000.0 km,Diesel,"₹ 7,20,000"
230,Hyundai,Verna,2018,1st,Manual,CRDi 1.6 SX,"47,000 km",Diesel,"₹ 9,00,000"
231,Land Rover,Range Rover Velar,2018,1st,Automatic,R-Dynamic S,20000.0 km,Diesel,"₹ 62,00,000"
232,Hyundai,i20,2011,3rd,Manual,1.2 Spotz,36750.0 km,Petrol,"₹ 2,33,000"
233,Hyundai,i10,2010,1st,Automatic,2007-2010 Sportz 1.2 AT,29000.0 km,Petrol,"₹ 2,90,000"
234,Maruti Suzuki,SX4,2013,1st,Manual,ZDi (Opt),68500.0 km,Diesel,"₹ 4,00,000"
235,Ford,Figo,2011,2nd,Manual,2012-2015 Diesel ZXI,68000.0 km,Diesel,"₹ 2,25,000"
236,Maruti Suzuki,Celerio,2017,1st,Manual,VXI MT,20000.0 km,Petrol,"₹ 4,50,000"
237,Toyota,Corolla Altis,2009,1st,Automatic,1.8 VL CVT,52000.0 km,Petrol,"₹ 4,35,000"
